書名,著者名,出版社,請求記号,ISBN,紀伊國屋
明治の洋館,NHK「美の壺」制作班∥編,日本放送出版協会,523-ﾆ ,4140811382,https://www.kinokuniya.co.jp/f/dsg-01-4140811382
日本の最も美しい赤レンガの名建築,歴史的建物研究会∥著,エクスナレッジ,523-ﾆ ,9784767825274,https://www.kinokuniya.co.jp/f/dsg-01-9784767825274
図説アール・ヌーヴォー建築 ー 華麗なる世紀末,橋本文隆∥著,河出書房新社,523-ﾊ ,9784309761077,https://www.kinokuniya.co.jp/f/dsg-01-9784309761077
ヨーロッパの城 中世の人々はどのように暮し，どのように敵と戦ったか 輪切り図鑑,スティーヴン・ビースティー画リチャード・プラット文桐敷真次郎訳,岩波書店,523-ﾋﾞ ,4001105330,https://www.kinokuniya.co.jp/f/dsg-01-4001105330
フランク・ロイド・ライト 幻の建築計画,ブルース・ブルックス・ファイファー著遠藤楽訳,グランドプレス,523-ﾌ ,,https://www.kinokuniya.co.jp/f/dsg-01-
ガウディの宇宙 1 サグラダ・ファミリア,細江英公著,集英社,523-ﾎ ,4085320416,https://www.kinokuniya.co.jp/f/dsg-01-4085320416
名建築の歴史図鑑,オーウェン・ホプキンス∥著、百合田香織∥訳,エクスナレッジ,523-ﾎ ,9784767823935,https://www.kinokuniya.co.jp/f/dsg-01-9784767823935
カテドラル 最も美しい大聖堂のできあがるまで,デビッド・マコーレイ作飯田喜四郎訳,岩波書店,523-ﾏ ,4001105225,https://www.kinokuniya.co.jp/f/dsg-01-4001105225
キャッスル 古城の秘められた歴史をさぐる,デビッド・マコーレイ作桐敷真次郎訳,岩波書店,523-ﾏ ,4001105241,https://www.kinokuniya.co.jp/f/dsg-01-4001105241
ヨーロッパの街並と屋根,向田直幹著,クレオ,523-ﾑ ,4906371868,https://www.kinokuniya.co.jp/f/dsg-01-4906371868
洋館さんぽ ー ひがしにほんへん,インク・インコーポレーション∥編,グラフィック社,523-ﾖ EAST,9784766121841,https://www.kinokuniya.co.jp/f/dsg-01-9784766121841
歴史遺産日本の洋館 ー 明治篇 1,藤森照信∥文、増田彰久∥写真,講談社,523-ﾚ 第1巻,4062614812,https://www.kinokuniya.co.jp/f/dsg-01-4062614812
歴史遺産日本の洋館 ー 明治篇 2,藤森照信∥文、増田彰久∥写真,講談社,523-ﾚ 第2巻,4062614820,https://www.kinokuniya.co.jp/f/dsg-01-4062614820
歴史遺産日本の洋館 ー 大正篇 1,藤森照信∥文、増田彰久∥写真,講談社,523-ﾚ 第3巻,4062614839,https://www.kinokuniya.co.jp/f/dsg-01-4062614839
歴史遺産日本の洋館 ー 大正篇 2,藤森照信∥文、増田彰久∥写真,講談社,523-ﾚ 第4巻,4062614847,https://www.kinokuniya.co.jp/f/dsg-01-4062614847
歴史遺産日本の洋館 ー 昭和篇 1,藤森照信∥文、増田彰久∥写真,講談社,523-ﾚ 第5巻,4062614855,https://www.kinokuniya.co.jp/f/dsg-01-4062614855
歴史遺産日本の洋館 ー 昭和篇 2,藤森照信∥文、増田彰久∥写真,講談社,523-ﾚ 第6巻,4062614863,https://www.kinokuniya.co.jp/f/dsg-01-4062614863
「図解」インテリア・コーディネートの基本 ー 構成材料と納め方,尾上孝一∥著,井上書院,524-ｵ ,4753016056,https://www.kinokuniya.co.jp/f/dsg-01-4753016056
トコトンやさしい建築材料の本,大垣賀津雄∥著、大塚秀三∥著,日刊工業新聞社,524-ｵ ,9784526080166,https://www.kinokuniya.co.jp/f/dsg-01-9784526080166
WindowScape ー 窓のふるまい学,東京工業大学塚本由晴研究室∥編、塚本由晴∥著能作文徳∥著金野千恵∥著,フィルムアート社,524-ﾄ1,9784845910588,https://www.kinokuniya.co.jp/f/dsg-01-9784845910588
